Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,15233.35527819879,149.12257891582775,4.816461112958081,31.70723088110044,22520.898704897972,5750.200803064199,4661.524854620566,33288.69615268116,5053.15168473106,2024.0248047286132,1868.4831819463793,59.21184458490074,41.56532638695732,2241.0749322715624,1770.878318978787,24.750537807170634,396.1647516819855,2680.3392170772213,42.073767920819115,173.88226058574168,53.756419432842726,3.581531961229073,3.089647017790937,4.884514030569614,37.083017494976666,0.9255942312191745,3.9326583716364016,1.7016206500375253,0.41502378915999166,11.226693134721216,0.1595413536972596,3.1518497244034482,265.25164867180047,6.256246469323255,358.966425645977,18.090889354555244,0.6598032251408866,1.9996158989863422,463.7355767855062,2095.5415681801865,101350.33257849755,17262.899671710336,25272.23512955345,8521.14634603803,-1137.0812591399617,151269.5324666594
Caza y pesca,0.707043322588395,183.89971634681424,0.5005946508573526,0.2709494187247268,70.20906822782095,6.786433611994422,22.331393860216238,2498.951492412516,26.677162441426475,2.74975314449617e-06,0.3726991840262179,3.957555977226977,9.745133733858488,0.04998567626214186,0.06773843437200673,0.42334994301690876,10.34648504594751,22.6417088338371,13.646734798199493,0.6764280554326254,0.7402032149169895,0.1059738758302431,0.06222639587101987,0.14056801627904608,0.9309030420569501,0.08080340660808664,0.418305566185101,0.4196334462957634,0.2463519980133632,1.0011716029512716,0.0007378119757307859,0.012872525128445323,0.04222457012439439,0.6705206502958232,0.8390565477664504,2.8769470975776703,0.29912029222859476,0.2177861734425578,79.27960275522578,208.8848114434809,3169.5314971571456,1655.2222055317836,2911.921025703611,42.43351325806556,-1.122287683303088,7777.9859539673025
Minería (energía),38.35568350994251,10.756637361534022,6812.465546765989,414.6024985898215,31.811621537977913,111.0349326529702,63.08174732451952,579.4938745087785,88.64511089273768,1.0960203136761446,326.8901149878917,24.444262967491174,7.985522717408052,12.603128212248192,234.1737283580507,42311.494349805886,2648.2700789582295,94.61039672019591,41.91065238280524,100.08316645661732,326.7476565265474,588.7004478035957,37.13834816956026,54.29771164601338,126.58851496348723,72.59470955900528,123.09201554238017,13.40552134430394,8.888968839080714,37.57832903350028,4.521013105032318,5.615007522076902,3.5162656689196377,3359.7148581182955,83.58459389193852,436.81058563415235,38.07788089275045,35.15995125801251,337.668084769724,336.756625735297,59984.266165048444,51396.50676231698,641.8139480680721,1142.0717106592429,5643.529073603359,118808.18765969611
Minería (no energía),519.2139545043132,22.537011376508364,173.20218613834058,2827.3722518443633,40.52067264343142,20.430399470419882,5.050290222357428,101.5286846532912,11.165323567922465,1.0638488464931894,53.1730331121549,10.56341731678857,15.134443619353013,22.78510086610972,88.95356660756441,135.18005786311122,2411.002877195237,249.27617551648942,23.95069187827772,121.64012548611096,1470.7240701206451,4513.649135006617,3546.579475277241,428.1660779851046,462.7514439860838,3.2697534574046796,87.01901916415761,2.271948751951192,1.9410001102575143,65.66731840134669,7.455902354749585,16.194036972613112,38.67652630077798,17.02624242599535,2276.9264978947795,24.295442348490674,4.618001026971153,65.21143353385654,113.3647273562857,121.25411164244876,20120.806276846415,35458.77429055984,203.47960773031082,961.4659069860476,1445.1535339057377,58189.679616028356
Carne y derivados,25.256159279860444,24.514294662541854,2.1279406239732586,16.48394060162784,2161.2937820926372,229.53737455543407,214.65256536362142,1436.143768818046,242.95210962419463,0.08652560455038914,13.269125352305945,539.8101298411424,1264.5497414659794,11.481638251965528,6.00051685295753,1.94148656758022,10.606576491977766,385.08267984776626,14.324581539686058,7.304578306507669,1.6590145353625814,4.0557774932706545,1.2401216355075046,8.15780939228689,5.338856442312385,0.04362933959724046,1.153619152770503,1.0933226458298109,0.738530382878886,7.5489856941274445,0.18025926357716904,0.2625968181350089,40.08994869291663,6.00179396437811,12.107272795361824,12.69328527578388,1.6944424107773288,2.6988007790691215,840.6293523341235,3182.4378451339153,10737.244779926337,9277.93388133386,29668.90619088698,-38.888995617367826,-57.14532866327491,49588.05052786654
"Molinería, panadería y pastas",288.96700079109235,12.296842076283204,8.022587545686061,3.8851608121954992,364.839576933089,3075.118956672947,167.43180047362557,1201.9739859769543,344.95453155812413,5.281723388874276,14.230673791070036,4.938323236955863,1.618379110586869,10.417806237776201,33.212587261172125,8.067675729115443,62.61797745608775,41.13742104344323,5.617151048024443,7.7497872081557695,4.498414224657163,3.530396363634758,1.1483733139368768,5.869617499666296,5.760390621570143,0.1816874910576681,1.8069851882397507,0.9552658405397002,0.540348279649505,4.140597194632951,0.26083675848471816,0.4776871724760636,3.445053740102785,3.927720968846705,18.996355921136598,29.740575472084707,4.3404639647210965,7.108278472511157,130.84333996480302,1829.555576829226,7719.507913633237,492.35262042367617,17366.68539570882,16.97327630444282,77.61525045253725,25673.134456522715
Azúcar y productos de confitería,23.27819577099631,2.059435047854523,2.104846768978964,8.372521289850704,786.9048876884475,493.8562448271622,701.6347668016488,2057.535841212825,807.8398963612015,20.669563697527988,4.248826828002169,4.6329084420972935,1.1110268397883725,1.5710562898477591,130.0167772718994,2.0868730995165645,31.988563892226868,188.5696968530075,58.63925920474156,12.110434451707905,5.149068607523996,1.1509343491440491,1.1587771467291468,2.9017833783029525,3.240738651976144,0.0390944843554606,3.2180952026899696,0.09098034727489536,0.10240412068225535,1.8378210948875993,0.007744995606395975,0.15586859152482277,3.3287047038123996,117.44977827312938,12.077483749208938,6.524125882153516,5.221632458052153,11.644490311938858,270.5517902696367,538.2948462722949,6323.377785530253,4224.299497719854,5089.776719619215,-158.86180128353845,-83.96778716278607,15394.624414422999
Otros productos alimenticios,9122.877211404531,995.7593789886848,38.08946764561331,35.79442554563222,3154.9545985928526,1653.7500916657316,1098.8432431070623,10289.376879458787,1676.0678736216632,2.2947240858617604,33.12482191967368,10.15384566378447,7.340619429799784,10.819470541277726,87.17976414202498,40.9386201191227,144.31054720466142,684.6752229604315,145.70784459744442,51.43683093278097,13.318364006332974,15.67201896988026,6.597793457615416,27.402421607875585,25.501709244704916,0.6408963379769844,8.923603022043713,1.1324509566877823,0.5906455783776263,5.300602720003636,0.7258565497438542,1.3924809920874661,17.259715062693434,10.821509714243474,77.20086025215383,48.244452502021836,10.01154764223195,28.61250351724858,1561.0877115108897,4283.60804554192,35427.54067081415,22993.941513215887,51685.80848307707,289.7510221023587,-738.0668978628642,109658.9747913466
Bebidas,26.673240322484226,3.9394637056003807,10.689852551561053,8.424097539503236,164.8197704086824,39.1951657198981,70.07876323414928,409.2346897355648,1155.1957402678063,3.99156148479658,12.597952585851086,3.898084981863544,2.064904536902856,21.22924838460518,16.66418887783326,5.460865458388276,54.090072865651074,47.117409799954046,10.83994760984376,20.086715074225438,5.730403826235289,8.212742519616302,3.0798675213438536,12.644368018267603,9.342017699061355,0.30585404635747576,2.4963712660517525,0.7837130929855471,0.516825749938213,1.8804910736778933,0.5002874942568127,0.714077388321442,2.701555172964664,4.399942134724955,32.44084527117785,89.41160762147368,9.691870417231332,10.39637903616452,6112.34290050015,3761.0300397481055,12154.913894743271,1402.6630072948885,15179.473717982715,345.4739855977954,-305.67833202874385,28776.84627358993
Productos de tabaco,2.1684509400483503,0.01977582656372795,0.1185916708822137,0.3397607459368501,0.575355726525772,0.2603504444701545,0.6619160405388015,1.02099541332137,3.74291886726943,363.5057371758874,0.18962953902585541,0.4806973881854046,0.07604279176423645,0.049934160873766974,0.587572899810065,0.2649432576503502,0.5496226364635487,0.060719458174470706,0.040022639216308005,0.22862456671650488,0.27795732000154233,0.0425253348487461,0.0284641920528727,0.05454379560549891,0.10181325903841487,0.000327564017834086,0.1137873728599809,0.379666479943768,0.24534966416627807,1.1185797713350327,0.0,0.00474198722865076,0.1545238639929594,0.2589842694555159,1.1047250860588786,14.235495207846837,0.47980681710655576,0.7489626917154522,3.0328946014439824,108.03467593468542,505.35948740272875,1251.01964646833,4730.809226287468,87.37962952089853,-135.20484315067387,6439.363146528752
